purch_id,cust_id,purch_date,product_id,quantity,unit_net_price
16570,28099,2021-04-02,1002,36,19.55
16902,28099,2021-04-28,1001,87,4.0
19618,54430,2021-04-26,1002,18,21.849999999999998
19663,54430,2021-04-19,1000,36,11.049999999999999
19895,54430,2021-04-19,1001,77,5.0
20919,54430,2021-04-17,1004,40,11.0
21605,54430,2021-04-09,1003,44,13.0
22404,54430,2021-04-21,1001,83,5.0
22446,54430,2021-04-24,1002,51,20.7
23666,71015,2021-04-14,1002,72,17.25
23930,71015,2021-04-09,1001,67,3.75
24863,71015,2021-04-04,1004,78,11.0
25067,71015,2021-04-25,1001,90,5.0
25554,71015,2021-04-24,1001,55,5.0
25617,71015,2021-04-07,1000,11,13.0
25973,71015,2021-04-14,1004,32,11.0
28645,79937,2021-04-05,1001,66,5.0
28782,79937,2021-04-14,1001,87,5.0
28994,79937,2021-04-09,1004,36,10.45
29007,79937,2021-04-10,1001,12,4.25
29009,79937,2021-04-03,1001,34,5.0
29475,79937,2021-04-25,1000,55,10.4
29663,79937,2021-04-10,1001,80,4.5
29778,79937,2021-04-12,1002,79,23.0
30048,54056,2021-04-15,1001,7,4.75
30395,54056,2021-04-23,1001,9,4.5
31038,54056,2021-04-24,1003,32,13.0
31204,54056,2021-04-18,1000,60,11.700000000000001
31221,54056,2021-04-25,1001,18,4.0
31576,1769,2021-04-02,1004,87,11.0
31851,1769,2021-04-04,1001,12,4.0
31988,1769,2021-04-20,1004,71,8.8
32019,1769,2021-04-18,1001,32,5.0
32102,1769,2021-04-14,1004,46,10.45
32122,1769,2021-04-11,1001,11,4.25
32470,1769,2021-04-18,1003,88,11.700000000000001
32486,1769,2021-04-26,1001,75,5.0
32605,1769,2021-04-20,1001,27,4.5
33155,1769,2021-04-29,1004,10,8.8
33226,1769,2021-04-21,1001,64,4.0
33292,1769,2021-04-21,1001,30,4.5
33360,1769,2021-04-15,1003,83,11.700000000000001
33516,1769,2021-04-29,1000,54,13.0
33674,1769,2021-04-06,1001,58,5.0
33705,1769,2021-04-03,1001,53,5.0
34643,80591,2021-04-26,1004,71,9.35
34801,80591,2021-04-01,1001,39,5.0
35436,80591,2021-04-22,1004,35,8.8
36902,68233,2021-04-18,1001,25,4.25
38026,68233,2021-04-27,1003,32,12.35
38325,68233,2021-04-29,1001,9,4.0
39751,68233,2021-04-28,1000,35,13.0
39793,68233,2021-04-22,1001,20,4.5
40320,89328,2021-04-26,1000,1512,10.4
40743,89328,2021-04-09,1002,792,23.0
41631,89328,2021-04-24,1003,378,12.35
41975,89328,2021-04-18,1003,846,9.75
42639,73767,2021-04-30,1000,57,12.35
43099,73767,2021-04-29,1002,45,17.25
43186,73767,2021-04-13,1000,43,10.4
43212,73767,2021-04-24,1001,9,5.0
43382,73767,2021-04-29,1003,89,9.75
43491,73767,2021-04-05,1001,51,4.0
43991,73767,2021-04-13,1001,87,4.5
44299,73767,2021-04-17,1001,20,5.0
44933,73965,2021-04-24,1001,13,4.75
44943,73965,2021-04-12,1001,89,5.0
45429,73965,2021-04-07,1004,16,9.35
45479,73965,2021-04-26,1001,19,5.0
45567,73965,2021-04-09,1001,63,3.75
45620,73965,2021-04-28,1001,63,4.5
46556,73965,2021-04-13,1001,45,5.0
47741,71047,2021-04-07,1001,72,5.0
48452,71047,2021-04-16,1002,5,18.400000000000002
48744,71047,2021-04-19,1000,73,13.0
48985,71047,2021-04-28,1004,2,11.0
50157,71047,2021-04-02,1001,56,5.0
50564,50489,2021-04-17,1001,77,3.75
51277,50489,2021-04-13,1000,57,11.049999999999999
51500,50489,2021-04-01,1001,47,5.0
51651,50489,2021-04-30,1004,14,11.0
51800,50489,2021-04-06,1004,72,11.0
52219,50489,2021-04-03,1003,12,13.0
52356,50489,2021-04-04,1001,56,4.25
53387,79731,2021-04-30,1000,83,11.700000000000001
53626,79731,2021-04-09,1004,47,11.0
54023,79731,2021-04-18,1002,81,18.400000000000002
54131,79731,2021-04-27,1003,45,13.0
55051,79731,2021-04-09,1003,41,9.75
56121,79731,2021-04-07,1002,39,18.400000000000002
56383,79731,2021-04-23,1003,40,13.0
56607,30421,2021-04-21,1004,58,11.0
56812,30421,2021-04-28,1004,48,11.0
56856,30421,2021-04-19,1001,11,5.0
56911,30421,2021-04-14,1001,83,5.0
57096,30421,2021-04-29,1004,2,11.0
57127,30421,2021-04-27,1001,88,4.0
57305,30421,2021-04-17,1002,27,23.0
57724,30421,2021-04-03,1004,72,8.8
57956,30421,2021-04-09,1001,41,5.0
57961,30421,2021-04-20,1001,26,3.75
57972,30421,2021-04-07,1002,72,19.55
57982,30421,2021-04-12,1004,67,10.45
58302,44736,2021-04-04,1003,80,13.0
58552,44736,2021-04-02,1001,77,4.0
58829,44736,2021-04-07,1002,9,18.400000000000002
59312,44736,2021-04-28,1001,80,4.25
60211,44736,2021-04-13,1001,21,5.0
60801,57940,2021-04-19,1001,6,4.5
60901,57940,2021-04-17,1000,84,11.700000000000001
61969,57940,2021-04-06,1000,74,11.700000000000001
62471,57940,2021-04-13,1004,34,11.0
62586,57940,2021-04-11,1003,7,13.0
63763,17791,2021-04-30,1001,85,5.0
63835,17791,2021-04-29,1001,25,5.0
63977,17791,2021-04-21,1001,27,5.0
64577,17791,2021-04-05,1004,54,11.0
64643,17791,2021-04-28,1004,10,11.0
64739,17791,2021-04-05,1001,15,5.0
66049,66567,2021-04-30,1001,64,5.0
67977,66567,2021-04-09,1000,55,12.35
70474,91057,2021-04-13,1002,1280,23.0
71175,91057,2021-04-12,1002,1008,19.55
71269,91057,2021-04-05,1000,1088,13.0
71271,91057,2021-04-15,1000,384,9.75
71521,91057,2021-04-26,1003,1232,13.0
71532,91057,2021-04-30,1004,1072,10.45
71655,192,2021-04-06,1004,56,11.0
72052,192,2021-04-01,1001,2,5.0
72463,192,2021-04-16,1001,45,4.5
72891,192,2021-04-21,1001,86,4.75
73293,192,2021-04-25,1001,52,5.0
73432,192,2021-04-17,1001,88,4.5
73548,192,2021-04-26,1001,23,4.25
73615,192,2021-04-13,1001,23,5.0
74829,192,2021-04-17,1001,41,4.25
74883,192,2021-04-03,1002,83,18.400000000000002
77618,49181,2021-04-29,1001,37,5.0
77625,49181,2021-04-26,1001,76,4.0
77810,49181,2021-04-23,1001,4,5.0
79503,7282,2021-04-18,1002,85,23.0
80043,7282,2021-04-22,1001,9,5.0
80361,7282,2021-04-23,1000,13,13.0
81354,7282,2021-04-29,1001,88,5.0
82405,6579,2021-04-06,1004,7,9.9
83172,6579,2021-04-29,1000,66,9.75
83646,6579,2021-04-07,1004,63,11.0
84566,6579,2021-04-07,1004,69,8.25
84646,6579,2021-04-01,1000,79,13.0
84784,87369,2021-04-09,1001,14,5.0
84965,87369,2021-04-20,1002,46,18.400000000000002
85180,87369,2021-04-18,1003,32,13.0
85574,87369,2021-04-05,1004,16,11.0
85702,87369,2021-04-29,1001,83,5.0
85876,87369,2021-04-25,1003,4,13.0
85897,87369,2021-04-12,1002,83,23.0
86484,87369,2021-04-15,1001,40,4.0
87089,87369,2021-04-16,1001,81,3.75
88005,87369,2021-04-17,1001,37,5.0
88097,67268,2021-04-06,1004,66,9.9
88112,67268,2021-04-22,1001,31,5.0
88300,67268,2021-04-22,1000,89,10.4
88795,67268,2021-04-19,1001,89,3.75
88826,67268,2021-04-02,1003,2,11.700000000000001
89469,67268,2021-04-28,1001,78,5.0
90209,30301,2021-04-28,1001,55,4.0
90355,30301,2021-04-23,1003,78,11.049999999999999
91091,30301,2021-04-03,1002,53,23.0
91695,30301,2021-04-11,1001,80,4.0
92032,30301,2021-04-10,1003,47,13.0
92766,87074,2021-04-12,1002,5,23.0
92810,87074,2021-04-30,1004,275,10.45
93076,87074,2021-04-26,1003,190,13.0
93159,87074,2021-04-12,1002,115,21.849999999999998
93500,87074,2021-04-02,1000,365,13.0
93508,87074,2021-04-22,1002,85,21.849999999999998
93743,87074,2021-04-04,1004,85,11.0
93843,87074,2021-04-03,1003,270,11.049999999999999
93874,87074,2021-04-08,1000,45,13.0
93926,87074,2021-04-13,1000,85,13.0
94799,60426,2021-04-08,1001,23,5.0
95072,60426,2021-04-26,1000,50,9.75
95480,60426,2021-04-09,1004,63,11.0
95968,60426,2021-04-07,1001,18,4.25
96250,60426,2021-04-10,1001,82,4.25
96403,60426,2021-04-04,1001,64,4.0
96456,60426,2021-04-27,1000,1,11.700000000000001
97125,39580,2021-04-05,1002,48,17.25
97428,39580,2021-04-13,1003,89,13.0
97504,39580,2021-04-20,1003,81,13.0
97637,39580,2021-04-28,1001,4,5.0
98271,39580,2021-04-21,1004,58,11.0
98465,39580,2021-04-04,1002,13,18.400000000000002
98927,39580,2021-04-01,1004,66,11.0
99003,39580,2021-04-18,1001,82,4.25
99102,39580,2021-04-13,1001,44,3.75
99718,31200,2021-04-19,1001,48,4.25
99764,31200,2021-04-22,1003,77,13.0
99942,31200,2021-04-20,1001,89,5.0
101178,31200,2021-04-23,1000,37,13.0
102063,31200,2021-04-12,1001,11,4.5
102239,31200,2021-04-03,1001,5,4.25
102243,31200,2021-04-28,1002,27,19.55
103916,95874,2021-04-24,1002,48,17.25
104030,95874,2021-04-10,1001,5,4.5
104722,95874,2021-04-01,1001,5,4.0
104915,95874,2021-04-03,1001,25,5.0
104974,95874,2021-04-24,1001,60,5.0
105232,95874,2021-04-04,1003,36,10.4
106125,73658,2021-04-02,1001,27,5.0
106965,73658,2021-04-24,1001,36,4.75
107568,73658,2021-04-28,1000,67,9.75
107698,73658,2021-04-23,1001,2,5.0
107952,73658,2021-04-05,1001,23,3.75
111314,98069,2021-04-19,1003,7,13.0
112222,71420,2021-04-19,1003,81,13.0
112256,71420,2021-04-04,1003,47,11.700000000000001
112307,71420,2021-04-15,1004,50,11.0
113341,71420,2021-04-15,1004,63,11.0
113632,71420,2021-04-22,1003,60,12.35
113660,71420,2021-04-02,1001,83,4.75
114165,71420,2021-04-28,1001,20,5.0
114553,71420,2021-04-06,1001,44,3.75
115867,82402,2021-04-25,1001,17,5.0
115940,82402,2021-04-07,1003,39,10.4
116051,82402,2021-04-20,1004,52,11.0
116241,82402,2021-04-27,1004,37,11.0
117319,79491,2021-04-17,1004,42,8.8
117751,79491,2021-04-12,1001,57,4.5
119269,79491,2021-04-02,1001,33,4.25
119677,79491,2021-04-09,1003,58,12.35
120275,79491,2021-04-24,1000,34,13.0
121370,92285,2021-04-15,1004,20,11.0
121400,92285,2021-04-06,1001,27,5.0
122319,92285,2021-04-01,1001,72,5.0
124080,92285,2021-04-29,1003,38,13.0
125055,1336,2021-04-23,1000,31,10.4
125364,1336,2021-04-02,1001,76,5.0
125532,1336,2021-04-26,1003,64,13.0
125689,1336,2021-04-16,1004,13,11.0
126164,1336,2021-04-24,1001,36,3.75
127422,1336,2021-04-08,1004,64,9.35
127539,1336,2021-04-23,1000,59,10.4
128681,49193,2021-04-20,1001,9,5.0
128885,49193,2021-04-26,1004,52,8.8
128940,49193,2021-04-07,1001,30,5.0
129632,49193,2021-04-20,1001,90,5.0
130218,25901,2021-04-04,1001,55,3.75
130244,25901,2021-04-04,1001,12,4.25
130599,25901,2021-04-03,1004,82,11.0
130664,25901,2021-04-12,1000,18,13.0
130933,25901,2021-04-11,1000,7,13.0
131007,25901,2021-04-08,1000,50,11.049999999999999
131939,25901,2021-04-27,1001,36,4.0
132425,25901,2021-04-20,1001,22,4.25
132542,25901,2021-04-08,1001,81,5.0
132701,25901,2021-04-09,1004,82,8.25
133243,25901,2021-04-30,1003,36,11.700000000000001
133893,95589,2021-04-30,1004,71,9.35
134083,95589,2021-04-05,1002,3,20.7
134436,95589,2021-04-23,1004,30,11.0
134526,95589,2021-04-03,1001,90,5.0
134648,95589,2021-04-15,1003,40,9.75
135638,11683,2021-04-09,1004,77,11.0
135694,11683,2021-04-01,1003,29,13.0
135918,11683,2021-04-05,1002,89,23.0
136388,11683,2021-04-09,1004,11,11.0
136848,11683,2021-04-19,1001,17,3.75
137389,11683,2021-04-30,1001,30,5.0
137390,11683,2021-04-10,1002,14,23.0
137672,11683,2021-04-29,1001,68,5.0
138206,11683,2021-04-28,1002,18,18.400000000000002
138523,11683,2021-04-03,1001,15,4.0
138696,11683,2021-04-23,1003,35,13.0
138706,11683,2021-04-04,1000,42,12.35
139037,11683,2021-04-11,1003,43,13.0
139209,81675,2021-04-09,1001,63,4.0
139529,81675,2021-04-08,1001,62,5.0
139702,81675,2021-04-18,1001,70,5.0
139786,81675,2021-04-29,1000,70,9.75
140035,81675,2021-04-11,1003,63,12.35
