purch_id,cust_id,purch_date,product_id,quantity,unit_net_price
13325,88836,2022-01-17,1001,26,5.0
13332,88836,2022-01-21,1001,76,5.0
13335,88836,2022-01-08,1001,36,4.75
13748,88836,2022-01-27,1003,59,13.0
13827,88836,2022-01-23,1003,5,11.700000000000001
13853,88836,2022-01-30,1003,44,11.700000000000001
13890,88836,2022-01-30,1001,87,5.0
13939,88836,2022-01-04,1003,4,13.0
14062,88836,2022-01-22,1001,100,3.75
14176,88836,2022-01-01,1001,9,5.0
14214,35781,2022-01-06,1004,86,11.0
14232,35781,2022-01-12,1000,70,13.0
14353,35781,2022-01-26,1000,39,13.0
14402,35781,2022-01-26,1000,82,13.0
14531,35781,2022-01-17,1004,32,11.0
14583,35781,2022-01-17,1003,5,13.0
14587,35781,2022-01-17,1000,9,9.75
14642,35781,2022-01-14,1001,71,5.0
14756,35781,2022-01-10,1004,54,8.8
14974,35781,2022-01-17,1001,69,5.0
14989,35781,2022-01-21,1003,90,13.0
15646,28099,2022-01-24,1001,54,5.0
16165,28099,2022-01-18,1000,60,13.0
16196,28099,2022-01-15,1003,56,11.049999999999999
16560,28099,2022-01-03,1004,95,11.0
17005,28099,2022-01-22,1003,80,13.0
18513,28099,2022-01-09,1001,96,5.0
19218,18142,2022-01-28,1001,98,5.0
19540,18142,2022-01-30,1001,57,4.75
19555,18142,2022-01-09,1003,69,12.35
19581,18142,2022-01-14,1001,52,4.75
19817,54430,2022-01-25,1003,10,11.700000000000001
20712,54430,2022-01-28,1003,19,11.049999999999999
21261,54430,2022-01-21,1003,101,9.75
21542,54430,2022-01-06,1001,19,5.0
22582,42192,2022-01-30,1001,18,4.25
22627,42192,2022-01-22,1003,4,10.4
23075,42192,2022-01-24,1001,27,5.0
23422,42192,2022-01-17,1000,47,13.0
23508,42192,2022-01-11,1003,48,11.700000000000001
23791,71015,2022-01-15,1001,23,3.75
26202,71015,2022-01-24,1001,80,3.75
26581,79937,2022-01-11,1000,80,11.700000000000001
26669,79937,2022-01-07,1000,98,9.75
27192,79937,2022-01-22,1001,60,4.25
28008,79937,2022-01-23,1001,30,5.0
28490,79937,2022-01-18,1003,74,13.0
28591,79937,2022-01-18,1004,94,10.45
28964,79937,2022-01-30,1003,59,9.75
29224,79937,2022-01-17,1001,11,4.25
29790,79937,2022-01-23,1001,24,3.75
30005,79937,2022-01-15,1004,87,9.9
30034,54056,2022-01-16,1000,74,9.75
30593,54056,2022-01-30,1000,49,13.0
30669,54056,2022-01-25,1003,34,11.700000000000001
30960,54056,2022-01-21,1002,39,18.400000000000002
31111,54056,2022-01-02,1000,34,9.75
31124,54056,2022-01-01,1000,73,13.0
31185,54056,2022-01-31,1002,15,18.400000000000002
31248,54056,2022-01-12,1001,11,4.75
31312,54056,2022-01-02,1001,42,5.0
31330,54056,2022-01-20,1004,45,8.25
31417,54056,2022-01-21,1003,87,13.0
31487,54056,2022-01-11,1001,4,5.0
31674,1769,2022-01-16,1001,36,5.0
31961,1769,2022-01-24,1001,83,3.75
31970,1769,2022-01-15,1003,97,13.0
32233,1769,2022-01-13,1001,61,4.75
32280,1769,2022-01-14,1001,48,5.0
32367,1769,2022-01-15,1001,92,4.0
32933,1769,2022-01-18,1001,75,4.5
34086,63821,2022-01-26,1001,60,5.0
34124,63821,2022-01-26,1003,75,11.049999999999999
34411,63821,2022-01-05,1001,14,3.75
34457,63821,2022-01-29,1000,5,9.75
34490,63821,2022-01-27,1000,81,9.75
